file,format,zeepHash,SHA256,xxh128
duplicate-blocks.zeeplevel,csv,63D132188F3F9C741CB6D0525B08339DA98AFA79,A580F43C84A5D93FA9DD6CCE59AF6C2965C9A9B4AF965081AB2A300BB25EB547,152D20A5C774BAB6757F0357CFAAAA6B
invalid-json-parse-unexpected-nan.zeeplevel,json,D352FD85C3513B1376B34C9226D956A52E072D8F-3,544F17979A00106A3D8AEBFA6991A858BBD5BB36F873F7460FDD80D3576398AF,7A04B347D4FCB30DCDDFAB96777A9380
invalid-metadata-row-column-count.zeeplevel,csv,E4BE9ECB5CF906B5C3FB2A0DADECA913AF725E53,AF3C41E5A7DA282280F02A033C4F5BD3B09F5DD051D5783497C54645C4E50A76,1A5C2AE8EB8B8ED382E089CE6E2F7665
invalid-metadata-row-column-count-2.zeeplevel,csv,9B658A98854CD45FDD01A8F8E0908057652349B0,B588AC210A284AABAC66A06062E60B15281DB87D3204D479FEDCE86A7F40B121,2AC9D0EC9FCDDA76001B5C6C6AA64504
invalid-position-x-nan.zeeplevel,csv,B2B1D4C15939AABA1DD0056001561CF52FCF314E,952E75D25953B3FD20A7F336B43A4C05762AC48ED3DD87B748A8F72A3DD3C1B4,9D34B34F0F12F9F35F7BC6927E7EE178
invalid-validation-row-column-count.zeeplevel,csv,6683B11AB8181BB5B0CABB6C9F9D32BA0FFCEA07,693D88EF46261DC259AA4902D8970E1DDAB7C10DB94916896F92260E06891FAF,301212028BB969E7808318211C1D4DD5
large.zeeplevel,csv,1474E5B31972FDC24482ACCA7317C5EE523E58A4,E3AE0322E2DFAE90947ADA72C060C32422949DEC004689AF7481E7F126D95E71,D86BBECB3377F22EED41F3F8ACAF9825
small.zeeplevel,csv,EA72C16EB4B34FED03D4B8D23FF788B0457F61A6,44A67231BFECAEECA6B48108B37AC055CE58758EBDFE000BD06DE8D648ABA3EE,63C36AE1873BE9F386E6FD422DFFEA16
zsl-2025-03-3-wide-super-league.zeeplevel,csv,55A15805DA83DB25DCC17545B5639ADADED9B27F,119127DDD6DE0770FB1AA36A1F8D5419FF2D3452681542C1803EFCB279D4F7DC,3D493ACB2DAA21379EC00A92102CEBD3
zsl-2025-03-3x3x3.zeeplevel,csv,53BF0D747AEE4AF89567E8E09DC98C4050E068A8,1A45B196A1774D22B333D25BAF26125800546A4AD07EC94D0CD8E554873D563D,486448F2AC3FF09CB80CC6078E2985EF
wpn-06.zeeplevel,csv,C7ED58626417EFDF4CC6B5585B1E6EC1D2D3F533,0A5CC4F5334BB311ED722C291AB67BDC0737A923FE561E41722E3A013AEE0CC6,8FFAC415B4894D8D2977983E1177C37E
zsl-airborne-embers.zeeplevel,csv,B3D6AF7F5F0E479D4BE242F6B9BC828B74B1666A,2CD5A66683FA4AA5D76DFC46DCDA1C31ACDC19D8671AB94D5E115C2E4D0CF88E,241AA2CA56682D52613316D078CE48D7
zsl-2026-02-a-colorful-valley.zeeplevel,json,CB3C7137612FD1A2166402485271FFA34839B694-3,C25862D34986BD5CAD5478C52F25073A62C2678AD24F8CD0847A9F733C45680D,6DA2B5AD5388B378E40D407796B5688F
zsl-2026-02-aerotaro.zeeplevel,json,4B9029794CB149CDC55A968822A131FCE315097C-3,CDFCC55736B7B0D22B81525019340E4997F6F8E1620AD015A8F687D32850EC9A,36B7E8A26020170C3AA8039E6462AA93
